line,destination,direction,time
BL-1,BL01,1,365
BL-2,BL23,0,365
BL-2,BL23,0,371
BL-1,BL01,1,373
BL-1,BL01,1,378
BL-1,BL23,0,381
BL-1,BL01,1,385
BL-1,BL23,0,388
BL-1,BL01,1,393
BL-1,BL23,0,397
BL-1,BL01,1,402
BL-1,BL23,0,406
BL-1,BL01,1,410
BL-1,BL23,0,414
BL-1,BL01,1,419
BL-1,BL23,0,419
BL-1,BL23,0,423
BL-1,BL01,1,427
BL-1,BL23,0,432
BL-1,BL01,1,436
BL-1,BL23,0,440
BL-1,BL01,1,444
BL-2,BL23,0,446
BL-1,BL23,0,449
BL-1,BL01,1,453
BL-1,BL23,0,458
BL-1,BL01,1,461
BL-1,BL23,0,467
BL-1,BL01,1,470
BL-2,BL23,0,471
BL-1,BL01,1,474
BL-1,BL23,0,476
BL-1,BL01,1,478
BL-2,BL23,0,480
BL-1,BL23,0,485
BL-1,BL01,1,487
BL-2,BL23,0,491
BL-1,BL01,1,496
BL-1,BL23,0,496
BL-2,BL05,1,501
BL-1,BL23,0,501
BL-1,BL23,0,505
BL-1,BL01,1,506
BL-2,BL23,0,510
BL-1,BL01,1,515
BL-1,BL23,0,515
BL-2,BL05,1,520
BL-1,BL23,0,520
BL-1,BL01,1,525
BL-1,BL23,0,525
BL-2,BL05,1,530
BL-2,BL23,0,530
BL-1,BL23,0,534
BL-1,BL01,1,535
BL-2,BL23,0,539
BL-2,BL05,1,540
BL-1,BL01,1,544
BL-1,BL23,0,544
BL-2,BL05,1,549
BL-2,BL23,0,549
BL-1,BL01,1,554
BL-1,BL23,0,554
BL-2,BL05,1,559
BL-2,BL23,0,559
BL-1,BL23,0,563
BL-1,BL01,1,564
BL-2,BL23,0,568
BL-2,BL05,1,569
BL-1,BL01,1,573
BL-1,BL23,0,573
BL-2,BL05,1,578
BL-2,BL23,0,578
BL-1,BL01,1,583
BL-1,BL23,0,583
BL-1,BL01,1,588
BL-2,BL23,0,588
BL-1,BL23,0,592
BL-2,BL05,1,593
BL-2,BL23,0,597
BL-1,BL01,1,598
BL-1,BL01,1,602
BL-1,BL23,0,602
BL-2,BL05,1,607
BL-2,BL23,0,607
BL-1,BL01,1,612
BL-1,BL23,0,612
BL-2,BL23,0,616
BL-2,BL05,1,617
BL-1,BL23,0,620
BL-1,BL01,1,622
BL-2,BL23,0,624
BL-1,BL01,1,627
BL-1,BL23,0,628
BL-2,BL05,1,631
BL-2,BL23,0,632
BL-1,BL01,1,636
BL-1,BL23,0,636
BL-2,BL23,0,640
BL-2,BL05,1,641
BL-1,BL23,0,644
BL-1,BL01,1,646
BL-2,BL23,0,648
BL-1,BL01,1,651
BL-1,BL23,0,651
BL-2,BL05,1,656
BL-2,BL23,0,656
BL-1,BL23,0,659
BL-1,BL01,1,660
BL-2,BL23,0,664
BL-2,BL05,1,666
BL-1,BL23,0,667
BL-1,BL01,1,670
BL-2,BL23,0,672
BL-2,BL05,1,675
BL-1,BL23,0,675
BL-1,BL01,1,678
BL-2,BL23,0,680
BL-2,BL05,1,683
BL-1,BL23,0,683
BL-1,BL01,1,686
BL-2,BL23,0,688
BL-2,BL05,1,691
BL-1,BL23,0,691
BL-1,BL01,1,694
BL-2,BL23,0,696
BL-2,BL05,1,699
BL-1,BL23,0,699
BL-1,BL01,1,702
BL-2,BL23,0,704
BL-2,BL05,1,707
BL-1,BL23,0,707
BL-1,BL01,1,710
BL-2,BL23,0,712
BL-2,BL05,1,715
BL-1,BL23,0,715
BL-1,BL01,1,718
BL-2,BL23,0,720
BL-2,BL05,1,723
BL-1,BL23,0,723
BL-1,BL01,1,726
BL-2,BL23,0,728
BL-2,BL05,1,731
BL-1,BL23,0,731
BL-1,BL01,1,734
BL-2,BL23,0,736
BL-2,BL05,1,739
BL-1,BL23,0,739
BL-1,BL01,1,742
BL-2,BL23,0,744
BL-2,BL05,1,747
BL-1,BL23,0,747
BL-1,BL01,1,750
BL-2,BL23,0,752
BL-2,BL05,1,755
BL-1,BL23,0,755
BL-1,BL01,1,758
BL-2,BL23,0,760
BL-2,BL05,1,763
BL-1,BL23,0,763
BL-1,BL01,1,766
BL-2,BL23,0,768
BL-2,BL05,1,771
BL-1,BL23,0,771
BL-1,BL01,1,774
BL-2,BL23,0,776
BL-2,BL05,1,779
BL-1,BL23,0,779
BL-1,BL01,1,782
BL-2,BL23,0,784
BL-2,BL05,1,787
BL-1,BL23,0,787
BL-1,BL01,1,790
BL-2,BL23,0,792
BL-2,BL05,1,795
BL-1,BL23,0,795
BL-1,BL01,1,798
BL-2,BL23,0,800
BL-2,BL05,1,803
BL-1,BL23,0,803
BL-1,BL01,1,806
BL-2,BL23,0,808
BL-2,BL05,1,811
BL-1,BL23,0,811
BL-1,BL01,1,814
BL-2,BL23,0,816
BL-2,BL05,1,819
BL-1,BL23,0,819
BL-1,BL01,1,822
BL-2,BL23,0,824
BL-2,BL05,1,827
BL-1,BL23,0,827
BL-1,BL01,1,830
BL-2,BL23,0,832
BL-2,BL05,1,835
BL-1,BL23,0,835
BL-1,BL01,1,838
BL-2,BL23,0,840
BL-2,BL05,1,843
BL-1,BL23,0,843
BL-1,BL01,1,846
BL-2,BL23,0,848
BL-2,BL05,1,851
BL-1,BL23,0,851
BL-1,BL01,1,854
BL-2,BL23,0,856
BL-2,BL05,1,859
BL-1,BL23,0,859
BL-1,BL01,1,862
BL-2,BL23,0,864
BL-2,BL05,1,867
BL-1,BL23,0,867
BL-1,BL01,1,870
BL-2,BL23,0,872
BL-2,BL05,1,875
BL-1,BL23,0,875
BL-1,BL01,1,878
BL-2,BL23,0,880
BL-2,BL05,1,883
BL-1,BL23,0,883
BL-1,BL01,1,886
BL-2,BL23,0,888
BL-2,BL05,1,891
BL-1,BL23,0,891
BL-1,BL01,1,894
BL-2,BL23,0,896
BL-2,BL05,1,899
BL-1,BL23,0,899
BL-1,BL01,1,902
BL-2,BL23,0,904
BL-2,BL05,1,907
BL-1,BL23,0,907
BL-1,BL01,1,910
BL-2,BL23,0,912
BL-2,BL05,1,915
BL-1,BL23,0,915
BL-1,BL01,1,918
BL-2,BL23,0,920
BL-2,BL05,1,923
BL-1,BL23,0,923
BL-1,BL01,1,926
BL-2,BL23,0,928
BL-2,BL05,1,931
BL-1,BL23,0,931
BL-1,BL01,1,934
BL-2,BL23,0,936
BL-2,BL05,1,939
BL-1,BL23,0,939
BL-1,BL01,1,942
BL-2,BL23,0,944
BL-2,BL05,1,947
BL-1,BL23,0,947
BL-1,BL01,1,950
