line,destination,direction,time
G-3,G03,0,363
G-3,G03,0,379
G-3,G03,0,395
G-3,G03,0,409
G-3,G03,0,422
G-3,G03,0,434
G-3,G03,0,446
G-3,G03,0,458
G-3,G03,0,470
G-3,G03,0,482
G-3,G03,0,494
G-3,G03,0,506
G-3,G03,0,518
G-3,G03,0,530
G-3,G03,0,542
G-3,G03,0,561
G-3,G03,0,580
G-3,G03,0,597
G-3,G03,0,615
G-3,G03,0,634
G-3,G03,0,652
G-3,G03,0,670
G-3,G03,0,688
G-3,G03,0,706
G-3,G03,0,724
G-3,G03,0,742
G-3,G03,0,760
G-3,G03,0,778
G-3,G03,0,796
G-3,G03,0,814
G-3,G03,0,832
G-3,G03,0,850
G-3,G03,0,868
G-3,G03,0,886
G-3,G03,0,904
G-3,G03,0,922
G-3,G03,0,940
G-3,G03,0,958
G-3,G03,0,976
G-3,G03,0,994
G-3,G03,0,1010
G-3,G03,0,1023
G-3,G03,0,1035
G-3,G03,0,1048
G-3,G03,0,1061
G-3,G03,0,1073
G-3,G03,0,1086
G-3,G03,0,1099
G-3,G03,0,1111
G-3,G03,0,1124
G-3,G03,0,1137
G-3,G03,0,1150
G-3,G03,0,1165
G-3,G03,0,1183
G-3,G03,0,1201
G-3,G03,0,1218
G-3,G03,0,1236
G-3,G03,0,1254
G-3,G03,0,1272
G-3,G03,0,1290
G-3,G03,0,1308
G-3,G03,0,1326
G-3,G03,0,1344
G-3,G03,0,1359
G-3,G03,0,1374
G-3,G03,0,1389
G-3,G03,0,1406
G-3,G03,0,1422
G-3,G03,0,1437
