line,destination,direction,time
G-1,G19,0,364
G-1,G01,1,365
G-1,G01,1,370
G-1,G19,0,370
G-1,G01,1,374
G-1,G19,0,374
G-1,G19,0,379
G-1,G01,1,382
G-1,G19,0,383
G-1,G01,1,388
G-1,G19,0,388
G-1,G19,0,392
G-1,G01,1,395
G-1,G19,0,396
G-1,G19,0,400
G-1,G01,1,403
G-1,G19,0,403
G-1,G19,0,406
G-1,G01,1,407
G-1,G19,0,409
G-1,G01,1,412
G-1,G19,0,412
G-1,G19,0,414
G-1,G19,0,417
G-1,G01,1,419
G-1,G19,0,420
G-1,G01,1,423
G-1,G19,0,423
G-1,G01,1,425
G-1,G19,0,426
G-2,G08,1,429
G-1,G19,0,429
G-1,G01,1,432
G-1,G19,0,432
G-1,G01,1,435
G-1,G19,0,436
G-1,G01,1,438
G-2,G19,0,438
G-2,G08,1,441
G-1,G19,0,441
G-1,G01,1,444
G-1,G19,0,444
G-1,G01,1,447
G-1,G19,0,448
G-1,G01,1,450
G-2,G19,0,450
G-2,G08,1,453
G-1,G19,0,453
G-1,G01,1,456
G-1,G19,0,456
G-1,G01,1,460
G-1,G19,0,460
G-2,G19,0,462
G-1,G01,1,463
G-1,G19,0,465
G-2,G08,1,466
G-1,G01,1,468
G-1,G19,0,468
G-1,G01,1,472
G-1,G19,0,472
G-2,G19,0,474
G-1,G01,1,475
G-1,G19,0,477
G-2,G08,1,478
G-1,G01,1,480
G-1,G19,0,480
G-1,G01,1,484
G-1,G19,0,484
G-1,G01,1,487
G-2,G19,0,487
G-1,G19,0,489
G-2,G08,1,490
G-1,G01,1,492
G-1,G19,0,492
G-1,G01,1,496
G-1,G19,0,496
G-1,G01,1,498
G-2,G19,0,498
G-1,G19,0,501
G-2,G08,1,502
G-1,G01,1,504
G-1,G19,0,504
G-1,G01,1,508
G-1,G19,0,508
G-2,G19,0,510
G-1,G01,1,511
G-1,G19,0,513
G-2,G08,1,514
G-1,G19,0,516
G-1,G01,1,517
G-1,G01,1,520
G-1,G19,0,520
G-1,G01,1,522
G-2,G19,0,522
G-1,G19,0,525
G-2,G08,1,526
G-1,G19,0,528
G-1,G01,1,529
G-1,G01,1,532
G-1,G19,0,532
G-2,G19,0,534
G-1,G01,1,535
G-1,G19,0,537
G-2,G08,1,538
G-1,G19,0,540
G-1,G01,1,541
G-1,G01,1,544
G-1,G19,0,544
G-2,G19,0,546
G-2,G08,1,547
G-1,G19,0,549
G-1,G01,1,550
G-1,G19,0,553
G-1,G01,1,554
G-2,G08,1,557
G-1,G19,0,557
G-1,G01,1,561
G-1,G19,0,562
G-1,G01,1,564
G-2,G08,1,567
G-1,G19,0,569
G-1,G01,1,571
G-1,G19,0,572
G-1,G01,1,573
G-2,G08,1,576
G-1,G19,0,578
G-1,G01,1,579
G-1,G19,0,581
G-1,G01,1,583
G-1,G19,0,586
G-2,G08,1,588
G-1,G19,0,591
G-1,G01,1,592
G-2,G08,1,596
G-1,G19,0,597
G-1,G01,1,600
G-1,G19,0,601
G-1,G19,0,605
G-1,G01,1,606
G-1,G19,0,611
G-1,G01,1,612
G-2,G08,1,617
G-1,G19,0,619
G-1,G01,1,621
G-2,G08,1,625
G-1,G19,0,627
G-1,G01,1,629
G-2,G08,1,633
G-1,G19,0,634
G-1,G01,1,637
G-1,G19,0,639
G-1,G01,1,642
G-1,G01,1,648
G-1,G19,0,648
G-1,G19,0,655
G-1,G01,1,656
G-1,G19,0,663
G-1,G01,1,664
G-1,G19,0,671
G-1,G01,1,672
G-1,G19,0,676
G-1,G01,1,678
G-1,G01,1,684
G-1,G19,0,684
G-1,G19,0,691
G-1,G01,1,692
G-1,G19,0,699
G-1,G01,1,700
G-1,G19,0,707
G-1,G01,1,708
G-1,G19,0,712
G-1,G01,1,714
G-1,G01,1,720
G-1,G19,0,720
G-1,G19,0,727
G-1,G01,1,728
G-1,G19,0,735
G-1,G01,1,736
G-1,G19,0,743
G-1,G01,1,744
G-1,G19,0,748
G-1,G01,1,750
G-1,G01,1,756
G-1,G19,0,756
G-1,G19,0,763
G-1,G01,1,764
G-1,G19,0,771
G-1,G01,1,772
G-1,G19,0,779
G-1,G01,1,780
G-1,G19,0,784
G-1,G01,1,786
G-1,G01,1,792
G-1,G19,0,792
G-1,G19,0,799
G-1,G01,1,800
G-1,G19,0,807
G-1,G01,1,808
G-1,G19,0,815
G-1,G01,1,816
G-1,G19,0,820
G-1,G01,1,822
G-1,G01,1,828
G-1,G19,0,828
G-1,G19,0,835
G-1,G01,1,836
G-1,G19,0,843
G-1,G01,1,844
G-1,G19,0,851
G-1,G01,1,852
G-1,G19,0,856
G-1,G01,1,858
G-1,G01,1,864
G-1,G19,0,864
G-1,G19,0,871
G-1,G01,1,872
G-1,G19,0,879
G-1,G01,1,880
G-1,G19,0,887
G-1,G01,1,888
G-1,G19,0,892
G-1,G01,1,894
G-1,G01,1,900
G-1,G19,0,900
G-1,G19,0,907
G-1,G01,1,908
G-1,G19,0,915
G-1,G01,1,916
G-1,G19,0,923
G-1,G01,1,924
G-1,G19,0,928
G-1,G01,1,930
G-1,G01,1,936
G-1,G19,0,936
G-1,G19,0,943
G-1,G01,1,944
G-1,G19,0,951
G-1,G01,1,952
G-1,G19,0,959
G-1,G01,1,960
G-1,G19,0,964
G-1,G01,1,966
G-1,G19,0,969
G-1,G01,1,972
G-1,G19,0,972
G-1,G19,0,979
G-1,G01,1,980
G-1,G19,0,987
G-1,G01,1,988
G-1,G19,0,994
G-1,G01,1,996
G-1,G19,0,997
G-1,G19,0,1000
G-1,G01,1,1002
G-1,G19,0,1003
G-1,G19,0,1006
G-1,G01,1,1009
G-1,G19,0,1009
G-2,G08,1,1012
G-1,G19,0,1013
G-1,G01,1,1016
G-1,G19,0,1016
G-1,G19,0,1019
G-1,G01,1,1022
G-1,G19,0,1022
G-1,G01,1,1025
G-2,G19,0,1025
G-2,G08,1,1028
G-1,G19,0,1028
G-1,G19,0,1031
G-1,G01,1,1033
G-1,G19,0,1035
G-1,G01,1,1036
G-2,G19,0,1038
G-1,G01,1,1040
G-1,G19,0,1041
G-2,G08,1,1042
G-1,G19,0,1044
G-1,G01,1,1045
G-1,G19,0,1047
G-1,G01,1,1049
G-2,G19,0,1050
G-1,G01,1,1052
G-1,G19,0,1054
G-2,G08,1,1055
G-1,G19,0,1057
G-1,G01,1,1058
G-1,G19,0,1060
G-1,G01,1,1061
G-2,G19,0,1064
G-1,G01,1,1065
G-1,G19,0,1067
G-2,G08,1,1068
G-1,G19,0,1070
G-1,G01,1,1071
G-1,G01,1,1074
G-1,G19,0,1074
G-2,G19,0,1077
G-1,G01,1,1078
G-1,G19,0,1080
G-2,G08,1,1081
