line,destination,direction,time
O-2,O01,1,360
O-1,O21,0,360
O-2,O54,0,366
O-2,O01,1,367
O-1,O21,0,369
O-2,O01,1,371
O-2,O54,0,373
O-2,O01,1,375
O-1,O21,0,378
O-2,O01,1,380
O-1,O01,1,383
O-2,O54,0,383
O-2,O01,1,387
O-1,O21,0,388
O-1,O01,1,391
O-2,O54,0,393
O-2,O01,1,395
O-1,O21,0,397
O-1,O01,1,398
O-2,O01,1,402
O-2,O54,0,403
O-1,O01,1,407
O-1,O21,0,407
O-2,O01,1,410
O-2,O54,0,412
O-1,O01,1,414
O-1,O21,0,415
O-2,O01,1,418
O-2,O54,0,419
O-1,O01,1,422
O-1,O21,0,423
O-2,O01,1,426
O-2,O54,0,427
O-1,O01,1,430
O-1,O21,0,431
O-2,O01,1,434
O-2,O54,0,435
O-1,O01,1,438
O-1,O21,0,439
O-2,O01,1,441
O-2,O54,0,443
O-1,O01,1,444
O-2,O01,1,447
O-1,O21,0,447
O-1,O01,1,450
O-2,O54,0,450
O-2,O01,1,453
O-1,O21,0,453
O-1,O01,1,456
O-2,O54,0,456
O-1,O21,0,459
O-2,O01,1,460
O-2,O54,0,462
O-1,O01,1,463
O-1,O21,0,465
O-2,O01,1,466
O-2,O54,0,468
O-1,O01,1,469
O-1,O21,0,471
O-2,O01,1,472
O-2,O54,0,474
O-1,O01,1,475
O-2,O01,1,478
O-1,O21,0,478
O-1,O01,1,481
O-2,O54,0,481
O-2,O01,1,484
O-1,O21,0,484
O-1,O01,1,486
O-2,O54,0,487
O-2,O01,1,489
O-1,O21,0,490
O-1,O01,1,492
O-2,O54,0,493
O-2,O01,1,494
O-1,O21,0,496
O-1,O01,1,497
O-2,O01,1,499
O-2,O54,0,499
O-1,O01,1,502
O-1,O21,0,502
O-2,O01,1,504
O-2,O54,0,504
O-1,O01,1,507
O-1,O21,0,507
O-2,O01,1,509
O-2,O54,0,510
O-1,O01,1,512
O-1,O21,0,513
O-2,O01,1,514
O-2,O54,0,516
O-1,O01,1,517
O-1,O21,0,518
O-2,O01,1,519
O-2,O54,0,521
O-1,O01,1,522
O-2,O01,1,524
O-1,O21,0,524
O-2,O54,0,526
O-1,O01,1,527
O-2,O01,1,529
O-1,O21,0,529
O-2,O54,0,531
O-1,O01,1,532
O-2,O01,1,534
O-1,O21,0,534
O-2,O54,0,536
O-1,O01,1,537
O-1,O21,0,539
O-2,O01,1,540
O-2,O54,0,541
O-1,O01,1,544
O-1,O21,0,544
O-2,O54,0,546
O-2,O01,1,547
O-1,O21,0,549
O-1,O01,1,550
O-2,O54,0,552
O-2,O01,1,553
O-1,O21,0,554
O-1,O01,1,556
O-2,O54,0,557
O-2,O01,1,559
O-1,O21,0,560
O-1,O01,1,562
O-2,O54,0,563
O-2,O01,1,566
O-1,O21,0,566
O-1,O01,1,569
O-2,O54,0,569
O-1,O21,0,572
O-2,O01,1,574
O-2,O54,0,575
O-1,O01,1,578
O-1,O21,0,579
O-2,O01,1,582
O-2,O54,0,583
O-1,O01,1,587
O-1,O21,0,587
O-2,O01,1,591
O-2,O54,0,592
O-1,O01,1,595
O-1,O21,0,596
O-2,O01,1,600
O-2,O54,0,600
O-1,O01,1,604
O-1,O21,0,605
O-2,O01,1,609
O-2,O54,0,609
O-1,O01,1,613
O-1,O21,0,614
O-2,O01,1,617
O-2,O54,0,618
O-1,O01,1,622
O-1,O21,0,622
O-2,O01,1,626
O-2,O54,0,627
O-1,O01,1,631
O-1,O21,0,631
