line,destination,direction,time
R-2,R02,1,360
R-2,R02,1,365
R-1,R28,0,365
R-2,R02,1,372
R-2,R02,1,374
R-1,R28,0,374
R-2,R02,1,378
R-1,R28,0,380
R-1,R02,1,383
R-1,R28,0,386
R-1,R02,1,393
R-1,R28,0,395
R-1,R02,1,401
R-1,R28,0,402
R-1,R02,1,410
R-1,R28,0,410
R-1,R02,1,418
R-1,R28,0,419
R-1,R28,0,426
R-1,R02,1,428
R-1,R28,0,433
R-1,R02,1,437
R-1,R28,0,441
R-1,R02,1,447
R-1,R28,0,451
R-2,R05,1,453
R-1,R02,1,456
R-1,R28,0,459
R-2,R05,1,461
R-2,R22,0,463
R-1,R02,1,464
R-1,R28,0,467
R-2,R05,1,469
R-1,R02,1,473
R-2,R05,1,477
R-1,R28,0,477
R-1,R02,1,481
R-2,R05,1,485
R-1,R28,0,486
R-1,R02,1,489
R-2,R22,0,489
R-2,R05,1,493
R-1,R28,0,493
R-1,R02,1,497
R-2,R22,0,497
R-2,R05,1,502
R-1,R28,0,502
R-1,R02,1,505
R-2,R22,0,506
R-2,R05,1,510
R-1,R28,0,510
R-1,R02,1,513
R-2,R22,0,514
R-2,R05,1,518
R-1,R28,0,518
R-1,R02,1,522
R-2,R22,0,522
R-2,R05,1,526
R-1,R28,0,526
R-1,R02,1,530
R-2,R22,0,530
R-2,R05,1,534
R-1,R28,0,534
R-1,R02,1,538
R-2,R22,0,538
R-2,R05,1,542
R-1,R28,0,542
R-1,R02,1,546
R-2,R22,0,546
R-2,R05,1,551
R-1,R28,0,551
R-1,R02,1,554
R-2,R22,0,555
R-2,R05,1,559
R-1,R28,0,559
R-1,R02,1,562
R-2,R22,0,563
R-2,R05,1,567
R-1,R28,0,567
R-1,R02,1,571
R-2,R22,0,571
R-2,R05,1,575
R-1,R28,0,575
R-1,R02,1,579
R-2,R22,0,579
R-2,R05,1,583
R-1,R28,0,583
R-1,R02,1,587
R-2,R22,0,587
R-2,R05,1,591
R-1,R28,0,591
R-1,R02,1,595
R-2,R22,0,595
R-2,R05,1,600
R-1,R28,0,600
R-1,R02,1,603
R-2,R22,0,604
R-2,R05,1,608
R-1,R28,0,608
R-1,R02,1,611
R-2,R22,0,612
R-2,R05,1,616
R-1,R28,0,616
R-1,R02,1,620
R-2,R22,0,620
R-2,R05,1,624
R-1,R28,0,624
R-1,R02,1,628
R-2,R22,0,628
R-2,R05,1,632
R-1,R28,0,632
R-1,R02,1,636
R-2,R22,0,636
R-2,R05,1,640
R-1,R28,0,640
R-1,R02,1,644
R-2,R22,0,644
R-2,R05,1,649
R-1,R28,0,649
R-1,R02,1,652
R-2,R22,0,653
R-2,R05,1,657
R-1,R28,0,657
R-1,R02,1,660
R-2,R22,0,661
R-2,R05,1,665
R-1,R28,0,665
R-1,R02,1,669
R-2,R22,0,669
R-2,R05,1,673
R-1,R28,0,673
R-1,R02,1,677
R-2,R22,0,677
R-2,R05,1,681
R-1,R28,0,681
R-1,R02,1,685
R-2,R22,0,685
R-2,R05,1,689
R-1,R28,0,689
R-1,R02,1,693
R-2,R22,0,693
R-2,R05,1,698
R-1,R28,0,698
R-1,R02,1,701
R-2,R22,0,702
R-2,R02,1,706
R-1,R28,0,706
R-1,R02,1,709
R-2,R22,0,710
R-2,R02,1,714
R-1,R28,0,714
R-1,R02,1,718
R-2,R22,0,718
R-2,R02,1,722
R-1,R28,0,722
R-1,R02,1,726
R-2,R22,0,726
R-2,R02,1,730
R-1,R28,0,730
R-1,R02,1,734
R-2,R22,0,734
R-2,R02,1,738
R-1,R28,0,738
R-1,R02,1,742
R-2,R22,0,742
R-2,R02,1,747
R-1,R28,0,747
R-1,R02,1,750
R-2,R22,0,751
R-2,R02,1,755
R-1,R28,0,755
R-1,R02,1,758
R-2,R22,0,759
R-2,R02,1,763
R-1,R28,0,763
R-1,R02,1,767
R-2,R22,0,767
R-2,R02,1,771
R-1,R28,0,771
R-1,R02,1,775
R-2,R22,0,775
R-2,R02,1,779
R-1,R28,0,779
R-1,R02,1,783
R-2,R22,0,783
R-2,R02,1,787
R-1,R28,0,787
R-1,R02,1,791
R-2,R22,0,791
R-2,R02,1,796
R-1,R28,0,796
R-1,R02,1,799
R-2,R22,0,800
R-2,R02,1,804
R-1,R28,0,804
R-1,R02,1,807
R-2,R22,0,808
R-2,R02,1,812
R-1,R28,0,812
R-1,R02,1,816
R-2,R22,0,816
R-2,R02,1,820
R-1,R28,0,820
R-1,R02,1,824
R-2,R22,0,824
R-2,R02,1,828
R-1,R28,0,828
R-1,R02,1,832
R-2,R22,0,832
R-2,R02,1,836
R-1,R28,0,836
R-1,R02,1,840
R-2,R22,0,840
R-2,R02,1,845
R-1,R28,0,845
R-1,R02,1,848
R-2,R22,0,849
R-2,R02,1,853
R-1,R28,0,853
R-1,R02,1,856
R-2,R22,0,857
R-2,R02,1,861
R-1,R28,0,861
R-1,R02,1,865
R-2,R22,0,865
R-2,R02,1,869
R-1,R28,0,869
R-1,R02,1,873
R-2,R22,0,873
R-2,R02,1,877
R-1,R28,0,877
R-1,R02,1,881
R-2,R22,0,881
R-2,R02,1,885
R-1,R28,0,885
R-1,R02,1,889
R-2,R22,0,889
R-2,R02,1,894
R-1,R28,0,894
R-1,R02,1,897
R-1,R28,0,898
R-2,R02,1,902
R-1,R28,0,902
R-1,R02,1,905
R-2,R22,0,906
R-2,R02,1,910
R-1,R28,0,910
R-1,R02,1,914
R-2,R22,0,914
R-2,R02,1,918
R-1,R28,0,918
R-1,R02,1,922
R-2,R22,0,922
R-2,R02,1,926
R-1,R28,0,926
R-1,R02,1,930
R-2,R22,0,930
R-2,R02,1,934
R-1,R28,0,934
R-1,R02,1,938
R-2,R22,0,938
R-2,R02,1,943
R-1,R28,0,943
R-1,R02,1,946
R-1,R28,0,947
R-2,R02,1,951
R-1,R28,0,951
R-1,R02,1,954
R-2,R22,0,955
R-2,R02,1,959
R-1,R28,0,959
R-1,R02,1,962
R-2,R22,0,963
R-2,R02,1,966
R-1,R28,0,967
R-1,R02,1,969
R-2,R22,0,971
R-2,R02,1,973
R-1,R28,0,975
R-1,R02,1,976
R-2,R22,0,979
R-2,R02,1,980
R-1,R02,1,983
R-1,R28,0,983
R-2,R02,1,987
R-2,R22,0,987
R-1,R02,1,990
R-1,R28,0,992
R-2,R02,1,994
R-1,R28,0,996
R-1,R02,1,997
R-1,R28,0,1000
R-2,R02,1,1001
R-1,R02,1,1004
R-2,R22,0,1004
R-2,R02,1,1008
R-1,R28,0,1008
R-1,R02,1,1011
R-2,R22,0,1012
R-2,R02,1,1015
R-1,R28,0,1015
R-1,R02,1,1018
R-2,R22,0,1019
R-2,R02,1,1022
R-1,R28,0,1022
R-1,R02,1,1025
R-2,R22,0,1026
R-2,R02,1,1029
R-1,R28,0,1029
R-1,R02,1,1032
R-2,R22,0,1033
R-2,R02,1,1036
R-1,R28,0,1036
R-1,R02,1,1039
R-2,R22,0,1040
R-2,R02,1,1043
R-1,R28,0,1043
R-1,R02,1,1046
R-2,R22,0,1047
R-2,R02,1,1050
R-1,R28,0,1050
R-1,R02,1,1053
R-2,R22,0,1054
R-2,R02,1,1057
R-1,R28,0,1057
R-1,R02,1,1060
R-2,R22,0,1061
R-2,R02,1,1064
R-1,R28,0,1064
R-1,R02,1,1067
R-2,R22,0,1068
R-2,R02,1,1071
R-1,R28,0,1071
R-1,R02,1,1074
R-2,R22,0,1075
R-2,R02,1,1078
R-1,R28,0,1078
R-1,R02,1,1081
R-2,R22,0,1082
R-2,R02,1,1085
R-1,R28,0,1085
R-1,R02,1,1088
R-2,R22,0,1089
R-2,R02,1,1092
R-1,R28,0,1092
R-1,R02,1,1095
R-2,R22,0,1096
R-2,R05,1,1099
R-1,R28,0,1099
R-1,R02,1,1102
R-2,R22,0,1103
R-2,R05,1,1106
R-1,R28,0,1106
R-1,R02,1,1109
R-2,R22,0,1110
R-2,R05,1,1113
R-1,R28,0,1113
R-1,R02,1,1116
R-2,R22,0,1117
R-2,R05,1,1120
R-1,R28,0,1120
R-1,R02,1,1123
R-2,R22,0,1124
R-2,R05,1,1127
R-1,R28,0,1127
R-1,R02,1,1130
R-2,R22,0,1130
R-2,R05,1,1134
R-1,R28,0,1134
R-1,R02,1,1137
R-2,R22,0,1138
R-2,R05,1,1141
R-1,R28,0,1141
R-1,R02,1,1144
R-2,R22,0,1145
R-1,R28,0,1148
R-2,R05,1,1150
R-2,R22,0,1152
R-1,R02,1,1153
R-1,R28,0,1155
R-2,R05,1,1158
R-2,R22,0,1159
R-1,R02,1,1162
R-1,R28,0,1162
R-2,R22,0,1165
R-2,R05,1,1167
R-1,R28,0,1169
R-1,R02,1,1170
R-2,R22,0,1173
R-2,R05,1,1175
R-1,R28,0,1176
R-1,R02,1,1179
R-2,R22,0,1180
R-1,R28,0,1183
R-2,R05,1,1184
R-1,R02,1,1187
R-2,R22,0,1187
R-1,R28,0,1190
R-2,R05,1,1192
R-2,R22,0,1195
R-1,R02,1,1196
R-1,R28,0,1198
R-2,R05,1,1201
R-2,R22,0,1203
R-1,R02,1,1204
R-1,R28,0,1207
R-2,R05,1,1209
R-2,R22,0,1212
R-1,R02,1,1213
R-1,R28,0,1215
R-2,R05,1,1218
R-2,R22,0,1220
R-1,R02,1,1221
R-1,R28,0,1224
R-2,R05,1,1226
R-2,R22,0,1229
R-1,R02,1,1230
R-1,R28,0,1232
R-2,R05,1,1235
R-2,R22,0,1237
R-1,R02,1,1238
R-1,R28,0,1241
R-2,R05,1,1243
R-2,R22,0,1246
R-1,R02,1,1247
R-1,R28,0,1249
R-2,R05,1,1252
R-2,R22,0,1254
R-1,R02,1,1255
R-1,R28,0,1258
R-2,R05,1,1260
R-2,R22,0,1263
R-1,R02,1,1264
R-1,R28,0,1266
R-2,R05,1,1269
R-2,R22,0,1271
R-1,R02,1,1272
R-1,R28,0,1275
R-2,R05,1,1277
R-2,R22,0,1280
R-1,R02,1,1281
R-1,R28,0,1283
R-2,R05,1,1286
R-2,R22,0,1288
R-1,R02,1,1289
R-1,R28,0,1292
R-2,R05,1,1294
R-2,R22,0,1297
R-1,R02,1,1298
R-1,R28,0,1300
R-2,R05,1,1303
R-2,R22,0,1305
R-1,R02,1,1306
R-1,R28,0,1309
R-2,R05,1,1311
R-2,R22,0,1314
R-1,R02,1,1315
R-2,R05,1,1318
R-1,R28,0,1318
R-1,R02,1,1322
R-2,R22,0,1322
R-1,R28,0,1326
R-2,R05,1,1328
R-2,R22,0,1331
R-1,R02,1,1332
R-1,R28,0,1334
R-2,R05,1,1338
R-2,R22,0,1339
R-1,R02,1,1342
R-1,R28,0,1343
R-2,R22,0,1348
R-1,R02,1,1352
R-1,R28,0,1352
R-2,R22,0,1354
R-1,R28,0,1358
R-1,R02,1,1362
R-2,R22,0,1364
R-2,R05,1,1367
R-1,R28,0,1368
R-1,R02,1,1372
R-2,R22,0,1373
R-1,R28,0,1377
R-1,R02,1,1383
R-1,R28,0,1387
R-1,R02,1,1393
R-1,R28,0,1396
R-1,R02,1,1404
R-1,R28,0,1406
R-1,R28,0,1412
R-1,R02,1,1414
R-1,R28,0,1418
R-1,R02,1,1426
R-1,R28,0,1430
R-1,R02,1,1438
R-1,R28,0,1442
R-1,R02,1,1452
R-1,R28,0,1454
R-1,R28,0,1461
R-1,R02,1,1465
R-1,R28,0,1467
R-1,R02,1,1477
R-1,R28,0,1479
