line,destination,direction,time
R-3,R22,1,365
R-3,R22,1,377
R-3,R22,1,389
R-3,R22,1,396
R-3,R22,1,403
R-3,R22,1,410
R-3,R22,1,417
R-3,R22,1,424
R-3,R22,1,431
R-3,R22,1,438
R-3,R22,1,445
R-3,R22,1,452
R-3,R22,1,459
R-3,R22,1,466
R-3,R22,1,473
R-3,R22,1,480
R-3,R22,1,487
R-3,R22,1,494
R-3,R22,1,501
R-3,R22,1,508
R-3,R22,1,515
R-3,R22,1,522
R-3,R22,1,529
R-3,R22,1,536
R-3,R22,1,543
R-3,R22,1,550
R-3,R22,1,560
R-3,R22,1,570
R-3,R22,1,580
R-3,R22,1,590
R-3,R22,1,600
R-3,R22,1,610
R-3,R22,1,620
R-3,R22,1,630
R-3,R22,1,640
R-3,R22,1,650
R-3,R22,1,660
R-3,R22,1,670
R-3,R22,1,680
R-3,R22,1,690
R-3,R22,1,700
R-3,R22,1,710
R-3,R22,1,720
R-3,R22,1,730
R-3,R22,1,740
R-3,R22,1,750
R-3,R22,1,760
R-3,R22,1,770
R-3,R22,1,780
R-3,R22,1,790
R-3,R22,1,800
R-3,R22,1,810
R-3,R22,1,820
R-3,R22,1,830
R-3,R22,1,840
R-3,R22,1,850
R-3,R22,1,860
R-3,R22,1,870
R-3,R22,1,880
R-3,R22,1,890
R-3,R22,1,900
R-3,R22,1,910
R-3,R22,1,920
R-3,R22,1,930
R-3,R22,1,940
R-3,R22,1,950
R-3,R22,1,960
R-3,R22,1,970
R-3,R22,1,980
R-3,R22,1,990
R-3,R22,1,1000
R-3,R22,1,1008
R-3,R22,1,1015
R-3,R22,1,1022
R-3,R22,1,1029
R-3,R22,1,1036
R-3,R22,1,1043
R-3,R22,1,1050
R-3,R22,1,1057
R-3,R22,1,1064
R-3,R22,1,1071
R-3,R22,1,1078
R-3,R22,1,1085
R-3,R22,1,1092
R-3,R22,1,1099
R-3,R22,1,1106
R-3,R22,1,1113
R-3,R22,1,1120
R-3,R22,1,1127
R-3,R22,1,1134
R-3,R22,1,1141
R-3,R22,1,1148
R-3,R22,1,1155
R-3,R22,1,1162
R-3,R22,1,1170
R-3,R22,1,1180
R-3,R22,1,1190
R-3,R22,1,1200
R-3,R22,1,1210
R-3,R22,1,1220
R-3,R22,1,1230
R-3,R22,1,1240
R-3,R22,1,1250
R-3,R22,1,1260
R-3,R22,1,1270
R-3,R22,1,1280
R-3,R22,1,1290
R-3,R22,1,1300
R-3,R22,1,1310
R-3,R22,1,1320
R-3,R22,1,1330
R-3,R22,1,1340
R-3,R22,1,1350
R-3,R22,1,1360
R-3,R22,1,1370
R-3,R22,1,1382
R-3,R22,1,1394
R-3,R22,1,1406
R-3,R22,1,1418
R-3,R22,1,1430
R-3,R22,1,1442
