line,destination,direction,abs_time
Y-1,Y20,0,364
Y-2,Y07,1,366
Y-1,Y20,0,373
Y-2,Y07,1,373
Y-2,Y07,1,378
Y-1,Y20,0,379
Y-2,Y07,1,386
Y-1,Y20,0,389
Y-2,Y07,1,395
Y-1,Y20,0,396
Y-2,Y07,1,403
Y-1,Y20,0,405
Y-2,Y07,1,412
Y-1,Y20,0,413
Y-1,Y20,0,420
Y-2,Y07,1,422
Y-1,Y20,0,428
Y-2,Y07,1,432
Y-1,Y20,0,437
Y-2,Y07,1,442
Y-1,Y20,0,447
Y-2,Y07,1,452
Y-1,Y20,0,457
Y-2,Y07,1,463
Y-1,Y20,0,468
Y-2,Y07,1,473
Y-1,Y20,0,478
Y-2,Y07,1,483
Y-1,Y20,0,488
Y-2,Y07,1,494
Y-1,Y20,0,498
Y-2,Y07,1,504
Y-1,Y20,0,509
Y-2,Y07,1,514
Y-1,Y20,0,518
Y-2,Y07,1,524
Y-1,Y20,0,528
Y-2,Y07,1,534
Y-1,Y20,0,538
Y-2,Y07,1,544
Y-1,Y20,0,548
Y-2,Y07,1,554
Y-1,Y20,0,558
Y-2,Y07,1,564
Y-1,Y20,0,567
Y-2,Y07,1,573
Y-1,Y20,0,576
Y-2,Y07,1,582
Y-1,Y20,0,584
Y-2,Y07,1,590
Y-1,Y20,0,592
Y-1,Y20,0,598
Y-2,Y07,1,598
Y-1,Y20,0,605
Y-2,Y07,1,605
Y-1,Y20,0,613
Y-2,Y07,1,613
Y-1,Y20,0,620
Y-2,Y07,1,620
Y-1,Y20,0,628
Y-2,Y07,1,628
Y-1,Y20,0,635
Y-2,Y07,1,635
Y-1,Y20,0,643
Y-2,Y07,1,643
Y-1,Y20,0,650
Y-2,Y07,1,650
Y-1,Y20,0,658
Y-2,Y07,1,658
Y-1,Y20,0,665
Y-2,Y07,1,665
Y-1,Y20,0,673
Y-2,Y07,1,673
Y-1,Y20,0,680
Y-2,Y07,1,680
Y-1,Y20,0,688
Y-2,Y07,1,688
Y-1,Y20,0,695
Y-2,Y07,1,695
Y-1,Y20,0,703
Y-2,Y07,1,703
Y-1,Y20,0,710
Y-2,Y07,1,710
Y-1,Y20,0,718
Y-2,Y07,1,718
Y-1,Y20,0,725
Y-2,Y07,1,725
Y-1,Y20,0,733
Y-2,Y07,1,733
Y-1,Y20,0,740
Y-2,Y07,1,740
Y-1,Y20,0,748
Y-2,Y07,1,748
Y-1,Y20,0,755
Y-2,Y07,1,755
Y-1,Y20,0,763
Y-2,Y07,1,763
Y-1,Y20,0,770
Y-2,Y07,1,770
Y-1,Y20,0,778
Y-2,Y07,1,778
Y-1,Y20,0,785
Y-2,Y07,1,785
Y-1,Y20,0,793
Y-2,Y07,1,793
Y-1,Y20,0,800
Y-2,Y07,1,800
Y-1,Y20,0,808
Y-2,Y07,1,808
Y-1,Y20,0,815
Y-2,Y07,1,815
Y-1,Y20,0,823
Y-2,Y07,1,823
Y-1,Y20,0,830
Y-2,Y07,1,830
Y-1,Y20,0,838
Y-2,Y07,1,838
Y-1,Y20,0,845
Y-2,Y07,1,845
Y-1,Y20,0,853
Y-2,Y07,1,853
Y-1,Y20,0,860
Y-2,Y07,1,860
Y-1,Y20,0,868
Y-2,Y07,1,868
Y-1,Y20,0,875
Y-2,Y07,1,875
Y-1,Y20,0,883
Y-2,Y07,1,883
Y-1,Y20,0,890
Y-2,Y07,1,890
Y-1,Y20,0,898
Y-2,Y07,1,898
Y-1,Y20,0,905
Y-2,Y07,1,905
Y-1,Y20,0,913
Y-2,Y07,1,913
Y-1,Y20,0,920
Y-2,Y07,1,920
Y-1,Y20,0,928
Y-2,Y07,1,928
Y-1,Y20,0,935
Y-2,Y07,1,935
Y-1,Y20,0,943
Y-2,Y07,1,943
Y-1,Y20,0,950
Y-2,Y07,1,950
Y-1,Y20,0,958
Y-2,Y07,1,958
Y-1,Y20,0,965
Y-2,Y07,1,965
Y-1,Y20,0,973
Y-2,Y07,1,973
Y-1,Y20,0,980
Y-2,Y07,1,980
Y-1,Y20,0,988
Y-2,Y07,1,988
Y-1,Y20,0,995
Y-2,Y07,1,995
Y-1,Y20,0,1003
Y-2,Y07,1,1003
Y-1,Y20,0,1010
Y-2,Y07,1,1010
Y-1,Y20,0,1018
Y-2,Y07,1,1018
Y-1,Y20,0,1025
Y-2,Y07,1,1025
Y-1,Y20,0,1033
Y-2,Y07,1,1033
Y-2,Y07,1,1040
Y-1,Y20,0,1041
Y-1,Y20,0,1048
Y-2,Y07,1,1048
Y-1,Y20,0,1056
Y-2,Y07,1,1056
Y-1,Y20,0,1063
Y-2,Y07,1,1063
Y-2,Y07,1,1070
Y-1,Y20,0,1071
Y-2,Y07,1,1077
Y-1,Y20,0,1079
Y-2,Y07,1,1084
Y-1,Y20,0,1087
Y-2,Y07,1,1094
Y-1,Y20,0,1098
Y-2,Y07,1,1104
Y-1,Y20,0,1108
Y-2,Y07,1,1114
Y-1,Y20,0,1117
Y-2,Y07,1,1124
Y-1,Y20,0,1128
Y-2,Y07,1,1134
Y-1,Y20,0,1138
Y-2,Y07,1,1144
