line,destination,direction,time
BL-1,BL01,1,360
BL-2,BL23,0,360
BL-1,BL01,1,368
BL-1,BL23,0,370
BL-1,BL01,1,376
BL-1,BL23,0,377
BL-1,BL01,1,384
BL-1,BL23,0,385
BL-1,BL01,1,389
BL-1,BL23,0,394
BL-1,BL01,1,396
BL-1,BL23,0,403
BL-1,BL01,1,405
BL-1,BL23,0,407
BL-1,BL23,0,412
BL-1,BL01,1,413
BL-1,BL23,0,420
BL-1,BL01,1,422
BL-1,BL23,0,429
BL-1,BL01,1,430
BL-2,BL23,0,434
BL-1,BL23,0,438
BL-1,BL01,1,439
BL-1,BL01,1,447
BL-1,BL23,0,447
BL-1,BL01,1,456
BL-1,BL23,0,456
BL-2,BL23,0,460
BL-1,BL01,1,464
BL-1,BL23,0,465
BL-2,BL23,0,469
BL-1,BL01,1,472
BL-1,BL23,0,473
BL-2,BL23,0,480
BL-1,BL01,1,481
BL-1,BL23,0,484
BL-1,BL01,1,485
BL-1,BL23,0,489
BL-1,BL01,1,490
BL-1,BL23,0,494
BL-1,BL01,1,499
BL-2,BL23,0,499
BL-1,BL23,0,503
BL-1,BL01,1,508
BL-1,BL23,0,508
BL-1,BL23,0,513
BL-1,BL01,1,517
BL-2,BL23,0,518
BL-1,BL23,0,523
BL-1,BL01,1,527
BL-2,BL23,0,528
BL-1,BL23,0,532
BL-1,BL01,1,537
BL-2,BL23,0,537
BL-1,BL23,0,542
BL-1,BL01,1,546
BL-2,BL23,0,547
BL-1,BL23,0,552
BL-1,BL01,1,556
BL-2,BL23,0,557
BL-1,BL23,0,561
BL-1,BL01,1,566
BL-2,BL23,0,566
BL-1,BL23,0,571
BL-1,BL01,1,575
BL-2,BL23,0,576
BL-1,BL23,0,581
BL-1,BL01,1,585
BL-2,BL23,0,586
BL-1,BL23,0,590
BL-1,BL01,1,594
BL-2,BL23,0,595
BL-1,BL01,1,600
BL-1,BL23,0,600
BL-2,BL23,0,605
BL-1,BL23,0,608
BL-1,BL01,1,609
BL-2,BL23,0,613
BL-1,BL01,1,614
BL-1,BL23,0,616
BL-2,BL23,0,621
BL-1,BL01,1,624
BL-1,BL23,0,624
BL-2,BL23,0,629
BL-1,BL23,0,632
BL-1,BL01,1,633
BL-2,BL23,0,637
BL-1,BL01,1,639
BL-1,BL23,0,640
BL-2,BL23,0,644
BL-1,BL01,1,648
BL-1,BL23,0,648
BL-2,BL23,0,652
BL-1,BL23,0,656
BL-1,BL01,1,657
BL-2,BL23,0,660
BL-1,BL01,1,663
BL-1,BL23,0,664
BL-2,BL23,0,668
BL-1,BL01,1,672
BL-1,BL23,0,672
BL-2,BL23,0,676
BL-1,BL23,0,680
BL-1,BL01,1,682
BL-2,BL23,0,684
BL-1,BL23,0,688
BL-1,BL01,1,690
BL-2,BL23,0,692
BL-1,BL23,0,696
BL-1,BL01,1,698
BL-2,BL23,0,700
BL-1,BL23,0,704
BL-1,BL01,1,706
BL-2,BL23,0,708
BL-1,BL23,0,712
BL-1,BL01,1,714
BL-2,BL23,0,716
BL-1,BL23,0,720
BL-1,BL01,1,722
BL-2,BL23,0,724
BL-1,BL23,0,728
BL-1,BL01,1,730
BL-2,BL23,0,732
BL-1,BL23,0,736
BL-1,BL01,1,738
BL-2,BL23,0,740
BL-1,BL23,0,744
BL-1,BL01,1,746
BL-2,BL23,0,748
BL-1,BL23,0,752
BL-1,BL01,1,754
BL-2,BL23,0,756
BL-1,BL23,0,760
BL-1,BL01,1,762
BL-2,BL23,0,764
BL-1,BL23,0,768
BL-1,BL01,1,770
BL-2,BL23,0,772
BL-1,BL23,0,776
BL-1,BL01,1,778
BL-2,BL23,0,780
BL-1,BL23,0,784
BL-1,BL01,1,786
BL-2,BL23,0,788
BL-1,BL23,0,792
BL-1,BL01,1,794
BL-2,BL23,0,796
BL-1,BL23,0,800
BL-1,BL01,1,802
BL-2,BL23,0,804
BL-1,BL23,0,808
BL-1,BL01,1,810
BL-2,BL23,0,812
BL-1,BL23,0,816
BL-1,BL01,1,818
BL-2,BL23,0,820
BL-1,BL23,0,824
BL-1,BL01,1,826
BL-2,BL23,0,828
BL-1,BL23,0,832
BL-1,BL01,1,834
BL-2,BL23,0,836
BL-1,BL23,0,840
BL-1,BL01,1,842
BL-2,BL23,0,844
BL-1,BL23,0,848
BL-1,BL01,1,850
BL-2,BL23,0,852
BL-1,BL23,0,856
BL-1,BL01,1,858
BL-2,BL23,0,860
BL-1,BL23,0,864
BL-1,BL01,1,866
BL-2,BL23,0,868
BL-1,BL23,0,872
BL-1,BL01,1,874
BL-2,BL23,0,876
BL-1,BL23,0,880
BL-1,BL01,1,882
BL-2,BL23,0,884
BL-1,BL23,0,888
BL-1,BL01,1,890
BL-2,BL23,0,892
BL-1,BL23,0,896
BL-1,BL01,1,898
BL-2,BL23,0,900
BL-1,BL23,0,904
BL-1,BL01,1,906
BL-2,BL23,0,908
BL-1,BL23,0,912
BL-1,BL01,1,914
BL-2,BL23,0,916
BL-1,BL23,0,920
BL-1,BL01,1,922
BL-2,BL23,0,924
BL-1,BL23,0,928
BL-1,BL01,1,930
BL-2,BL23,0,932
BL-1,BL23,0,936
BL-1,BL01,1,938
