line,destination,direction,time
G-3,G03,0,363
G-3,G03,0,379
G-3,G03,0,395
G-3,G03,0,412
G-3,G03,0,430
G-3,G03,0,448
G-3,G03,0,466
G-3,G03,0,484
G-3,G03,0,502
G-3,G03,0,520
G-3,G03,0,538
G-3,G03,0,556
G-3,G03,0,574
G-3,G03,0,592
G-3,G03,0,610
G-3,G03,0,628
G-3,G03,0,646
G-3,G03,0,664
G-3,G03,0,682
G-3,G03,0,700
G-3,G03,0,718
G-3,G03,0,736
G-3,G03,0,754
G-3,G03,0,772
G-3,G03,0,790
G-3,G03,0,808
G-3,G03,0,826
G-3,G03,0,844
G-3,G03,0,862
G-3,G03,0,880
G-3,G03,0,898
G-3,G03,0,916
G-3,G03,0,934
G-3,G03,0,952
G-3,G03,0,970
G-3,G03,0,988
G-3,G03,0,1006
G-3,G03,0,1024
G-3,G03,0,1042
G-3,G03,0,1060
G-3,G03,0,1078
G-3,G03,0,1096
G-3,G03,0,1114
G-3,G03,0,1132
G-3,G03,0,1150
G-3,G03,0,1168
G-3,G03,0,1186
G-3,G03,0,1204
G-3,G03,0,1222
G-3,G03,0,1240
G-3,G03,0,1258
G-3,G03,0,1276
G-3,G03,0,1294
G-3,G03,0,1313
G-3,G03,0,1332
G-3,G03,0,1352
G-3,G03,0,1371
G-3,G03,0,1389
G-3,G03,0,1406
G-3,G03,0,1422
G-3,G03,0,1437
