line,destination,direction,time
G-1,G01,1,360
G-1,G01,1,365
G-1,G01,1,374
G-1,G01,1,382
G-1,G01,1,387
G-1,G01,1,392
G-1,G01,1,399
G-1,G01,1,403
G-1,G01,1,405
G-2,G08,1,409
G-1,G01,1,412
G-1,G01,1,414
G-1,G01,1,417
G-2,G08,1,421
G-1,G01,1,424
G-1,G01,1,427
G-1,G01,1,430
G-2,G08,1,433
G-1,G01,1,436
G-1,G01,1,439
G-1,G01,1,442
G-2,G08,1,445
G-1,G01,1,448
G-1,G01,1,451
G-1,G01,1,454
G-2,G08,1,457
G-1,G01,1,460
G-1,G01,1,463
G-1,G01,1,466
G-2,G08,1,469
G-1,G01,1,472
G-1,G01,1,475
G-1,G01,1,478
G-2,G08,1,481
G-1,G01,1,484
G-1,G01,1,487
G-1,G01,1,490
G-2,G08,1,493
G-1,G01,1,496
G-1,G01,1,499
G-1,G01,1,502
G-2,G08,1,505
G-1,G01,1,508
G-1,G01,1,511
G-1,G01,1,514
G-2,G08,1,517
G-1,G01,1,520
G-1,G01,1,523
G-2,G08,1,526
G-1,G01,1,529
G-1,G01,1,533
G-2,G08,1,535
G-1,G01,1,541
G-1,G01,1,544
G-2,G08,1,547
G-1,G01,1,550
G-1,G01,1,553
G-2,G08,1,556
G-1,G01,1,559
G-1,G01,1,563
G-2,G08,1,567
G-1,G01,1,571
G-2,G08,1,575
G-1,G01,1,579
G-1,G01,1,585
G-1,G01,1,591
G-2,G08,1,596
G-1,G01,1,600
G-2,G08,1,604
G-1,G01,1,608
G-2,G08,1,612
G-1,G01,1,615
G-1,G01,1,621
G-1,G01,1,627
G-1,G01,1,635
G-1,G01,1,643
G-1,G01,1,651
G-1,G01,1,657
G-1,G01,1,663
G-1,G01,1,671
G-1,G01,1,679
G-1,G01,1,687
G-1,G01,1,693
G-1,G01,1,699
G-1,G01,1,707
G-1,G01,1,715
G-1,G01,1,723
G-1,G01,1,729
G-1,G01,1,735
G-1,G01,1,743
G-1,G01,1,751
G-1,G01,1,759
G-1,G01,1,765
G-1,G01,1,771
G-1,G01,1,779
G-1,G01,1,787
G-1,G01,1,795
G-1,G01,1,801
G-1,G01,1,807
G-1,G01,1,815
G-1,G01,1,823
G-1,G01,1,831
G-1,G01,1,837
G-1,G01,1,843
G-1,G01,1,851
G-1,G01,1,859
G-1,G01,1,867
G-1,G01,1,873
G-1,G01,1,879
G-1,G01,1,887
G-1,G01,1,895
G-1,G01,1,903
G-1,G01,1,909
G-1,G01,1,915
G-1,G01,1,923
G-1,G01,1,931
G-1,G01,1,939
G-1,G01,1,945
G-1,G01,1,951
G-1,G01,1,959
G-1,G01,1,967
G-1,G01,1,975
G-1,G01,1,981
G-1,G01,1,987
G-2,G08,1,991
G-1,G01,1,995
G-1,G01,1,1001
G-1,G01,1,1004
G-2,G08,1,1007
G-1,G01,1,1011
G-1,G01,1,1015
G-1,G01,1,1018
G-2,G08,1,1021
G-1,G01,1,1024
G-1,G01,1,1027
G-1,G01,1,1031
G-2,G08,1,1034
G-1,G01,1,1036
G-1,G01,1,1040
G-1,G01,1,1043
G-2,G08,1,1047
G-1,G01,1,1049
G-1,G01,1,1053
G-1,G01,1,1056
G-2,G08,1,1059
G-1,G01,1,1062
G-1,G01,1,1065
G-1,G01,1,1069
G-2,G08,1,1072
G-1,G01,1,1074
G-1,G01,1,1078
G-1,G01,1,1081
G-2,G08,1,1085
G-1,G01,1,1087
G-1,G01,1,1091
G-1,G01,1,1094
G-2,G08,1,1097
G-1,G01,1,1100
G-1,G01,1,1103
G-1,G01,1,1107
G-2,G08,1,1110
G-1,G01,1,1112
G-1,G01,1,1116
G-1,G01,1,1119
G-2,G08,1,1123
G-1,G01,1,1125
G-1,G01,1,1129
G-1,G01,1,1132
G-2,G08,1,1135
G-1,G01,1,1138
G-1,G01,1,1141
G-1,G01,1,1145
G-2,G08,1,1148
G-1,G01,1,1151
G-1,G01,1,1154
G-1,G01,1,1157
G-2,G08,1,1161
G-1,G01,1,1164
G-1,G01,1,1167
G-1,G01,1,1171
G-2,G08,1,1173
G-1,G01,1,1177
G-1,G01,1,1181
G-1,G01,1,1185
G-1,G01,1,1190
G-1,G01,1,1194
G-1,G01,1,1198
G-1,G01,1,1204
G-1,G01,1,1210
G-1,G01,1,1215
G-2,G08,1,1218
G-1,G01,1,1222
G-1,G01,1,1229
G-1,G01,1,1235
G-2,G08,1,1238
G-1,G01,1,1241
G-1,G01,1,1247
G-1,G01,1,1252
G-2,G08,1,1256
G-1,G01,1,1260
G-1,G01,1,1265
G-1,G01,1,1272
G-2,G08,1,1276
G-1,G01,1,1280
G-1,G01,1,1287
G-1,G01,1,1294
G-1,G01,1,1300
G-1,G01,1,1308
G-1,G01,1,1315
G-1,G01,1,1322
G-1,G01,1,1328
G-1,G01,1,1335
G-1,G01,1,1341
G-1,G01,1,1348
G-1,G01,1,1354
G-1,G01,1,1361
G-1,G01,1,1367
G-1,G01,1,1374
G-1,G01,1,1380
G-1,G01,1,1388
G-1,G01,1,1398
G-1,G01,1,1404
G-1,G01,1,1416
G-1,G01,1,1428
G-1,G01,1,1440
