line,destination,direction,time
O-1,O21,0,360
O-1,O01,1,364
O-1,O21,0,370
O-1,O01,1,371
O-1,O01,1,378
O-1,O21,0,380
O-1,O01,1,386
O-1,O21,0,388
O-1,O01,1,394
O-1,O21,0,397
O-1,O01,1,402
O-1,O21,0,407
O-1,O01,1,411
O-1,O21,0,417
O-1,O01,1,421
O-1,O21,0,426
O-1,O01,1,430
O-1,O21,0,435
O-1,O01,1,440
O-1,O21,0,445
O-1,O01,1,449
O-1,O21,0,454
O-1,O01,1,459
O-1,O21,0,464
O-1,O01,1,468
O-1,O21,0,473
O-1,O01,1,478
O-1,O21,0,483
O-1,O01,1,488
O-1,O21,0,492
O-1,O01,1,497
O-1,O21,0,502
O-1,O01,1,507
O-1,O21,0,511
O-1,O01,1,516
O-1,O21,0,521
O-1,O01,1,526
O-1,O21,0,531
O-1,O01,1,535
O-1,O21,0,540
O-1,O01,1,543
O-1,O21,0,550
O-1,O01,1,551
O-1,O21,0,559
O-1,O01,1,560
O-1,O21,0,569
O-1,O01,1,570
O-1,O01,1,579
O-1,O21,0,579
O-1,O21,0,588
O-1,O01,1,589
O-1,O01,1,598
O-1,O21,0,598
O-1,O21,0,607
O-1,O01,1,608
O-1,O21,0,617
O-1,O01,1,618
O-1,O21,0,626
O-1,O01,1,627
O-1,O21,0,636
O-1,O01,1,637
O-1,O01,1,646
O-1,O21,0,646
O-1,O21,0,655
O-1,O01,1,656
O-1,O01,1,665
O-1,O21,0,665
O-1,O21,0,674
O-1,O01,1,675
O-1,O21,0,684
O-1,O01,1,685
O-1,O21,0,693
O-1,O01,1,694
O-1,O21,0,703
O-1,O01,1,704
O-1,O01,1,713
O-1,O21,0,713
O-1,O21,0,722
O-1,O01,1,723
O-1,O01,1,732
O-1,O21,0,732
O-1,O21,0,741
O-1,O01,1,742
O-1,O21,0,751
O-1,O01,1,752
O-1,O21,0,760
O-1,O01,1,761
O-1,O21,0,770
O-1,O01,1,771
O-1,O01,1,780
O-1,O21,0,780
O-1,O21,0,789
O-1,O01,1,790
O-1,O01,1,799
O-1,O21,0,799
O-1,O21,0,808
O-1,O01,1,809
O-1,O21,0,818
O-1,O01,1,819
O-1,O21,0,827
O-1,O01,1,828
O-1,O21,0,837
O-1,O01,1,838
O-1,O21,0,846
O-1,O01,1,847
O-1,O21,0,856
O-1,O01,1,857
O-1,O01,1,866
O-1,O21,0,866
O-1,O21,0,875
O-1,O01,1,876
O-1,O01,1,885
O-1,O21,0,885
O-1,O21,0,894
O-1,O01,1,895
O-1,O21,0,904
O-1,O01,1,905
O-1,O21,0,913
O-1,O01,1,914
O-1,O21,0,923
O-1,O01,1,924
O-1,O01,1,933
O-1,O21,0,933
O-1,O21,0,942
O-1,O01,1,943
O-1,O01,1,952
O-1,O21,0,952
O-1,O21,0,961
O-1,O01,1,962
O-1,O21,0,971
O-1,O01,1,972
O-1,O21,0,980
O-1,O01,1,981
O-1,O21,0,990
O-1,O01,1,991
O-1,O01,1,1000
O-1,O21,0,1000
O-1,O21,0,1009
O-1,O01,1,1010
O-1,O01,1,1019
O-1,O21,0,1019
O-1,O21,0,1028
O-1,O01,1,1029
O-1,O21,0,1038
O-1,O01,1,1039
O-1,O21,0,1047
O-1,O01,1,1048
O-1,O21,0,1057
O-1,O01,1,1058
O-1,O01,1,1067
O-1,O21,0,1067
O-1,O21,0,1076
O-1,O01,1,1077
O-1,O01,1,1086
O-1,O21,0,1086
O-1,O21,0,1095
O-1,O01,1,1096
O-1,O21,0,1105
O-1,O01,1,1106
O-1,O21,0,1114
O-1,O01,1,1115
O-1,O21,0,1124
O-1,O01,1,1125
O-1,O21,0,1133
O-1,O01,1,1134
O-1,O21,0,1143
O-1,O01,1,1144
O-1,O01,1,1153
O-1,O21,0,1153
O-1,O21,0,1162
O-1,O01,1,1163
O-1,O01,1,1172
O-1,O21,0,1172
O-1,O21,0,1181
O-1,O01,1,1182
O-1,O21,0,1191
O-1,O01,1,1192
O-1,O21,0,1200
O-1,O01,1,1201
O-1,O21,0,1210
O-1,O01,1,1211
O-1,O01,1,1220
O-1,O21,0,1220
O-1,O21,0,1229
O-1,O01,1,1230
O-1,O01,1,1239
O-1,O21,0,1239
O-1,O21,0,1248
O-1,O01,1,1249
O-1,O21,0,1258
O-1,O01,1,1259
O-1,O21,0,1267
O-1,O01,1,1268
O-1,O21,0,1277
O-1,O01,1,1278
O-1,O01,1,1287
O-1,O21,0,1287
O-1,O01,1,1297
O-1,O21,0,1297
O-1,O01,1,1306
O-1,O21,0,1306
O-1,O01,1,1316
O-1,O21,0,1316
O-1,O21,0,1325
O-1,O01,1,1326
O-1,O01,1,1335
O-1,O21,0,1335
O-1,O21,0,1344
O-1,O01,1,1345
O-1,O01,1,1354
O-1,O21,0,1354
O-1,O21,0,1363
O-1,O01,1,1364
O-1,O01,1,1373
O-1,O21,0,1373
O-1,O21,0,1383
O-1,O01,1,1384
O-1,O21,0,1392
O-1,O01,1,1395
O-1,O21,0,1402
O-1,O01,1,1407
O-1,O21,0,1409
O-1,O01,1,1419
O-1,O21,0,1421
O-1,O01,1,1431
O-1,O21,0,1433
O-1,O01,1,1443
O-1,O21,0,1445
O-1,O01,1,1456
O-1,O21,0,1457
O-1,O01,1,1465
O-1,O21,0,1469
O-1,O21,0,1477
O-1,O21,0,1493
