line,destination,direction,abs_time
Y-2,Y07,1,360
Y-2,Y07,1,364
Y-2,Y07,1,372
Y-2,Y07,1,380
Y-2,Y07,1,388
Y-2,Y07,1,397
Y-2,Y07,1,407
Y-2,Y07,1,416
Y-2,Y07,1,427
Y-2,Y07,1,438
Y-2,Y07,1,448
Y-2,Y07,1,458
Y-2,Y07,1,469
Y-2,Y07,1,479
Y-2,Y07,1,489
Y-2,Y07,1,499
Y-2,Y07,1,509
Y-2,Y07,1,519
Y-2,Y07,1,529
Y-2,Y07,1,539
Y-2,Y07,1,549
Y-2,Y07,1,558
Y-2,Y07,1,567
Y-2,Y07,1,575
Y-2,Y07,1,584
Y-2,Y07,1,592
Y-2,Y07,1,600
Y-2,Y07,1,607
Y-2,Y07,1,615
Y-2,Y07,1,622
Y-2,Y07,1,630
Y-2,Y07,1,637
Y-2,Y07,1,645
Y-2,Y07,1,652
Y-2,Y07,1,660
Y-2,Y07,1,667
Y-2,Y07,1,675
Y-2,Y07,1,682
Y-2,Y07,1,690
Y-2,Y07,1,697
Y-2,Y07,1,705
Y-2,Y07,1,712
Y-2,Y07,1,720
Y-2,Y07,1,727
Y-2,Y07,1,735
Y-2,Y07,1,742
Y-2,Y07,1,750
Y-2,Y07,1,757
Y-2,Y07,1,765
Y-2,Y07,1,772
Y-2,Y07,1,780
Y-2,Y07,1,787
Y-2,Y07,1,795
Y-2,Y07,1,802
Y-2,Y07,1,810
Y-2,Y07,1,817
Y-2,Y07,1,825
Y-2,Y07,1,832
Y-2,Y07,1,840
Y-2,Y07,1,847
Y-2,Y07,1,855
Y-2,Y07,1,862
Y-2,Y07,1,870
Y-2,Y07,1,877
Y-2,Y07,1,885
Y-2,Y07,1,892
Y-2,Y07,1,900
Y-2,Y07,1,907
Y-2,Y07,1,915
Y-2,Y07,1,922
Y-2,Y07,1,930
Y-2,Y07,1,937
Y-2,Y07,1,945
Y-2,Y07,1,952
Y-2,Y07,1,960
Y-2,Y07,1,967
Y-2,Y07,1,975
Y-2,Y07,1,982
Y-2,Y07,1,990
Y-2,Y07,1,997
Y-2,Y07,1,1005
Y-2,Y07,1,1012
Y-2,Y07,1,1020
Y-2,Y07,1,1027
Y-2,Y07,1,1035
Y-2,Y07,1,1043
Y-2,Y07,1,1050
Y-2,Y07,1,1057
Y-2,Y07,1,1063
Y-2,Y07,1,1070
Y-2,Y07,1,1079
Y-2,Y07,1,1089
Y-2,Y07,1,1099
Y-2,Y07,1,1109
Y-2,Y07,1,1119
Y-2,Y07,1,1129
Y-2,Y07,1,1139
Y-2,Y07,1,1149
Y-2,Y07,1,1159
Y-2,Y07,1,1169
Y-2,Y07,1,1179
Y-2,Y07,1,1189
Y-2,Y07,1,1199
Y-2,Y07,1,1209
Y-2,Y07,1,1219
Y-2,Y07,1,1229
Y-2,Y07,1,1239
Y-2,Y07,1,1249
Y-2,Y07,1,1259
Y-2,Y07,1,1269
Y-2,Y07,1,1279
Y-2,Y07,1,1289
Y-2,Y07,1,1299
Y-2,Y07,1,1309
Y-2,Y07,1,1319
Y-2,Y07,1,1329
Y-2,Y07,1,1338
Y-2,Y07,1,1347
Y-2,Y07,1,1356
Y-2,Y07,1,1366
Y-2,Y07,1,1376
Y-2,Y07,1,1387
Y-2,Y07,1,1395
Y-2,Y07,1,1403
Y-2,Y07,1,1411
Y-2,Y07,1,1419
Y-2,Y07,1,1428
Y-2,Y07,1,1440
